[Sat Mar 21 11:31:56.417052 2015] [:error] [pid 1198] [client 127.0.0.1:36101] PHP Notice:  Undefined variable: catalog in /home/yb/projects/parquet/view/part/main-menu.tpl on line 5
[Sat Mar 21 11:31:56.462441 2015] [:error] [pid 1198] [client 127.0.0.1:36101] PHP Notice:  Undefined index: page in /home/yb/projects/parquet/view/part/main-menu.tpl on line 6
[Sat Mar 21 11:31:56.462481 2015] [:error] [pid 1198] [client 127.0.0.1:36101] PHP Notice:  Undefined index: page in /home/yb/projects/parquet/view/part/main-menu.tpl on line 7
[Sat Mar 21 11:31:56.462486 2015] [:error] [pid 1198] [client 127.0.0.1:36101] PHP Notice:  Undefined index: page in /home/yb/projects/parquet/view/part/main-menu.tpl on line 8
[Sat Mar 21 11:31:56.462490 2015] [:error] [pid 1198] [client 127.0.0.1:36101] PHP Notice:  Undefined index: page in /home/yb/projects/parquet/view/part/main-menu.tpl on line 9
[Sat Mar 21 11:31:57.162455 2015] [:error] [pid 1198] [client 127.0.0.1:36101] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/projects/parquet/view/part/sidebar.tpl on line 8
[Sat Mar 21 11:31:57.172731 2015] [:error] [pid 1198] [client 127.0.0.1:36101] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/projects/parquet/view/part/sidebar.tpl on line 9
[Sat Mar 21 11:31:59.600530 2015] [:error] [pid 1199] [client 127.0.0.1:36102] PHP Notice:  Undefined variable: home in /home/yb/projects/parquet/view/part/main-menu.tpl on line 4, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 11:31:59.600558 2015] [:error] [pid 1199] [client 127.0.0.1:36102] PHP Notice:  Undefined variable: catalog in /home/yb/projects/parquet/view/part/main-menu.tpl on line 5, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 11:31:59.603214 2015] [:error] [pid 2825] [client 127.0.0.1:36121] PHP Notice:  Undefined variable: home in /home/yb/projects/parquet/view/part/main-menu.tpl on line 4, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 11:31:59.603237 2015] [:error] [pid 2825] [client 127.0.0.1:36121] PHP Notice:  Undefined variable: catalog in /home/yb/projects/parquet/view/part/main-menu.tpl on line 5, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 11:31:59.639678 2015] [:error] [pid 1199] [client 127.0.0.1:36102] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/projects/parquet/view/part/sidebar.tpl on line 8, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 11:31:59.639705 2015] [:error] [pid 1199] [client 127.0.0.1:36102] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/projects/parquet/view/part/sidebar.tpl on line 9, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 11:31:59.639742 2015] [:error] [pid 2825] [client 127.0.0.1:36121] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/projects/parquet/view/part/sidebar.tpl on line 8, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 11:31:59.639751 2015] [:error] [pid 2825] [client 127.0.0.1:36121] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/projects/parquet/view/part/sidebar.tpl on line 9, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 12:05:56.517877 2015] [:error] [pid 4248] [client 127.0.0.1:41990] PHP Warning:  mysqli_connect(): (28000/1045): Access denied for user 'root'@'localhost' (using password: YES) in /home/yb/project/parquet/controller/connect_bd.php on line 8
[Sat Mar 21 12:06:43.259864 2015] [:error] [pid 4250] [client 127.0.0.1:41992] PHP Warning:  mysqli_connect(): (28000/1045): Access denied for user 'root'@'localhost' (using password: YES) in /home/yb/project/parquet/controller/connect_bd.php on line 8
[Sat Mar 21 12:06:43.868178 2015] [:error] [pid 4250] [client 127.0.0.1:41992] PHP Warning:  mysqli_connect(): (28000/1045): Access denied for user 'root'@'localhost' (using password: YES) in /home/yb/project/parquet/controller/connect_bd.php on line 8
[Sat Mar 21 12:06:44.042125 2015] [:error] [pid 4250] [client 127.0.0.1:41992] PHP Warning:  mysqli_connect(): (28000/1045): Access denied for user 'root'@'localhost' (using password: YES) in /home/yb/project/parquet/controller/connect_bd.php on line 8
[Sat Mar 21 12:07:19.014334 2015] [:error] [pid 4262] [client 127.0.0.1:41998] PHP Notice:  Undefined variable: catalog in /home/yb/project/parquet/view/part/main-menu.tpl on line 5
[Sat Mar 21 12:07:19.014394 2015] [:error] [pid 4262] [client 127.0.0.1:41998] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 6
[Sat Mar 21 12:07:19.014406 2015] [:error] [pid 4262] [client 127.0.0.1:41998] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 7
[Sat Mar 21 12:07:19.014415 2015] [:error] [pid 4262] [client 127.0.0.1:41998] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 8
[Sat Mar 21 12:07:19.014425 2015] [:error] [pid 4262] [client 127.0.0.1:41998] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 9
[Sat Mar 21 12:07:19.018028 2015] [:error] [pid 4262] [client 127.0.0.1:41998] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 8
[Sat Mar 21 12:07:19.018064 2015] [:error] [pid 4262] [client 127.0.0.1:41998] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 9
[Sat Mar 21 12:07:21.667935 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Notice:  Undefined variable: home in /home/yb/project/parquet/view/part/main-menu.tpl on line 4, referer: http://parquet.loc/
[Sat Mar 21 12:07:21.668004 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 6, referer: http://parquet.loc/
[Sat Mar 21 12:07:21.668021 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 7, referer: http://parquet.loc/
[Sat Mar 21 12:07:21.668037 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 8, referer: http://parquet.loc/
[Sat Mar 21 12:07:21.668050 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 9, referer: http://parquet.loc/
[Sat Mar 21 12:07:21.671809 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 8, referer: http://parquet.loc/
[Sat Mar 21 12:07:21.671850 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 9, referer: http://parquet.loc/
[Sat Mar 21 12:07:23.038463 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Notice:  Undefined variable: home in /home/yb/project/parquet/view/part/main-menu.tpl on line 4, referer: http://parquet.loc/catalog
[Sat Mar 21 12:07:23.038519 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Notice:  Undefined variable: catalog in /home/yb/project/parquet/view/part/main-menu.tpl on line 5, referer: http://parquet.loc/catalog
[Sat Mar 21 12:07:23.039551 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 8, referer: http://parquet.loc/catalog
[Sat Mar 21 12:07:23.039581 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 9, referer: http://parquet.loc/catalog
[Sat Mar 21 12:07:24.179819 2015] [:error] [pid 4248] [client 127.0.0.1:42004] PHP Notice:  Undefined variable: home in /home/yb/project/parquet/view/part/main-menu.tpl on line 4, referer: http://parquet.loc/instructions
